State,Overall Homeless,Homeless Veterans,Percentage
AK,2016,132,6.145251397
AL,3434,339,8.984892658
AR,2712,251,8.471144111
AZ,9865,893,8.300799405
CA,129972,10836,7.695585478
CO,10857,1073,8.994132439
CT,3976,190,4.560729717
DE,1082,70,6.076388889
FL,31030,2543,7.574539064
GA,9499,705,6.909055272
HI,6530,532,7.533276692
IA,2749,196,6.655348048
ID,2012,215,9.654243377
IL,10643,804,7.023674325
IN,5258,539,9.297912713
KS,2216,195,8.087930319
KY,3688,369,9.095390683
LA,3059,406,11.71717172
MA,20068,985,4.678668123
MD,7144,574,7.437159886
ME,2516,119,4.516129032
MI,8351,693,7.6625387
MN,7243,301,3.989925769
MO,5883,507,7.9342723
MS,1352,102,7.015130674
MT,1405,198,12.3518403
NC,9268,884,8.707643814
ND,542,9,1.633393829
NE,2421,171,6.597222222
NH,1450,143,8.976773384
NJ,9398,555,5.576208178
NM,2551,290,10.20767335
NV,7544,723,8.745615096
NY,91897,1224,1.314418874
OH,10249,749,6.810329151
OK,3871,313,7.480879541
OR,14476,1363,8.605341246
PA,13512,982,6.775217331
RI,1101,103,8.554817276
SC,3933,415,9.544618215
SD,1159,110,8.668242711
TN,7883,742,8.602898551
TX,25310,1935,7.102220591
UT,2876,239,7.672552167
VA,5975,485,7.507739938
VT,1291,104,7.455197133
WA,22304,1636,6.833751044
WI,4907,332,6.33708723
WV,1243,131,9.534206696
WY,639,47,6.851311953
