RC-ILLICIT DRUG OR ALCOHOL DEP OR ABUSE - PAST YEAR,EVER BEEN IN THE US ARMED FORCES,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
0 - No/Unknown,98 - BLANK,1.43E-05,9.62E-06,3.72E-06,5.52E-05,1,0,N/A,N/A,1.55E-05,1.04E-05,4.02E-06,5.96E-05,3922.985411,3,2638.808638
Overall,98 - BLANK,1.43E-05,9.62E-06,3.72E-06,5.52E-05,1,0,N/A,N/A,1.43E-05,9.62E-06,3.72E-06,5.52E-05,3922.985411,3,2638.808638
Overall,1 - Yes,0.081171925,0.001916878,0.077404063,0.085106279,1,0,N/A,N/A,0.081171925,0.001916878,0.077404063,0.085106279,22221061.4,2568,529419.5108
0 - No/Unknown,Overall,0.926073497,0.001614738,0.922764018,0.929252041,0.926073497,0.001614738,0.922764018,0.929252041,1,0,N/A,N/A,253515437.5,51417,1802715.673
1 - Yes,1 - Yes,0.004157559,0.000455351,0.003336257,0.005179994,0.05121917,0.005468166,0.041285814,0.063384479,0.056239082,0.005960238,0.045398554,0.069479766,1138144.323,179,123955.5831
0 - No/Unknown,85 - BAD DATA Logically assigned,0.000227233,8.88E-05,0.000103603,0.000498316,0.931909881,0.051892895,0.725875047,0.986060816,0.000245372,9.59E-05,0.000111925,0.000537842,62205.61792,13,24439.07149
1 - Yes,2 - No,0.067460549,0.001539634,0.064433084,0.070619526,0.079994807,0.001827508,0.076400195,0.083743211,0.912535375,0.006245288,0.899151102,0.924292903,18467530.55,4346,425664.053
0 - No/Unknown,99 - LEGITIMATE SKIP,0.072938672,0.00116896,0.070625284,0.075321695,0.969536378,0.001966071,0.965329579,0.973246884,0.078761213,0.001234056,0.076317934,0.081275829,19967183.3,10695,316510.2986
1 - Yes,99 - LEGITIMATE SKIP,0.002291792,0.000141914,0.002023728,0.002595272,0.030463622,0.001966071,0.026753116,0.034670421,0.031000958,0.001909321,0.027387247,0.035074298,627385.1471,369,39459.32544
Overall,85 - BAD DATA Logically assigned,0.000243835,8.94E-05,0.000116788,0.000509019,1,0,N/A,N/A,0.000243835,8.94E-05,0.000116788,0.000509019,66750.67964,15,24585.94107
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,273753042.6,56313,1824763.613
0 - No/Unknown,1 - Yes,0.077014366,0.001868652,0.073343899,0.080852493,0.94878083,0.005468166,0.936615521,0.958714186,0.083162261,0.002031343,0.079172143,0.087334401,21082917.07,2389,519197.7657
0 - No/Unknown,2 - No,0.775851053,0.002540529,0.770706983,0.780912525,0.920005193,0.001827508,0.916256789,0.923599805,0.837785614,0.002281332,0.833151079,0.84231578,212391586.4,38315,1722135.531
Overall,97 - REFUSED,2.78E-05,2.30E-05,5.29E-06,0.000146632,1,0,N/A,N/A,2.78E-05,2.30E-05,5.29E-06,0.000146632,7622.125488,2,6306.30543
1 - Yes,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0,0
Overall,2 - No,0.843311602,0.002091666,0.839064365,0.847467127,1,0,N/A,N/A,0.843311602,0.002091666,0.839064365,0.847467127,230859116.9,42661,1752159.655
Overall,99 - LEGITIMATE SKIP,0.075230464,0.001153174,0.072946752,0.077579689,1,0,N/A,N/A,0.075230464,0.001153174,0.072946752,0.077579689,20594568.45,11064,314530.6824
1 - Yes,Overall,0.073926503,0.001614738,0.070747959,0.077235982,0.073926503,0.001614738,0.070747959,0.077235982,1,0,N/A,N/A,20237605.09,4896,444669.9691
1 - Yes,85 - BAD DATA Logically assigned,1.66E-05,1.18E-05,3.99E-06,6.90E-05,0.068090119,0.051892895,0.013939184,0.274124953,0.000224585,0.000159109,5.41E-05,0.000931547,4545.061717,2,3223.977231
0 - No/Unknown,97 - REFUSED,2.78E-05,2.30E-05,5.29E-06,0.000146632,1,0,N/A,N/A,3.01E-05,2.49E-05,5.71E-06,0.000158409,7622.125488,2,6306.30543
1 - Yes,98 - BLANK,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0,0
